Orden,Libro,Capítulo,Título del capítulo,Autor citado,Forma normalizada,Obra asociada,Pasaje / contexto,Función de la cita,Tipo de fuente,Observaciones
68,II,X,Del principio de la segunda guerra Púnica contra Cartago,Polybio,Polibio,,Polybio. Sobre los números del ejército cartaginés.,Autoridad narrativa bélica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
69,II,XII,De lo que sucedió por el mismo tiempo en España,Rufo Festo,Sexto Rufo / Rufo Festo,,"Rufo Festo. Sobre el puerto de Salu, denominado por él como Solorio. Donde las naves romanas pasan el invierno.",Autoridad historiográfica de apoyo,Tardorromana / compendio,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
70,II,XVI,Cómo los cartagineses fueron maltratados en muchas partes de España,Tito Livio,Tito Livio,,"Tito Livio, sobre las luchas entre romanos (Publio y Gneio Scipión) y cartagineses (Asdrúbal) en España.",Autoridad narrativa bélica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
71,II,XVII,De una nueva guerra que se emprendió en África,Tito Livio,Tito Livio,,"Tito Livio y Plutarco → en sus obras no incluyen un supuesto viaje que realizó Syphax, rey de los númidas, a España. Para parlamentar con los romanos, en el contexto de la guerra contra Cartago.",Autoridad narrativa bélica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
72,II,XVII,De una nueva guerra que se emprendió en África,Plutarco,Plutarco,,"Tito Livio y Plutarco → en sus obras no incluyen un supuesto viaje que realizó Syphax, rey de los númidas, a España. Para parlamentar con los romanos, en el contexto de la guerra contra Cartago.",Autoridad narrativa bélica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
73,II,XXI,Como Asdrúbal Barchino fue vencido por Scipión,Plinio,Plinio el Viejo,,"Plinio, sobre la ubicación de Oninge, ciudad de los Melessos (mandado conquistar por los romanos en el contexto de la segunda guerra púnica).",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
74,II,XXIII,De otras cosas que Escipión hizo en España,Plinio,Plinio el Viejo,,"Plinio, sobre la ubicación de la ciudad de Siga (en frente de Málaga, residencia del rey Siphax). Está empleando a Plinio como fuente para la geografía y ubicación de ciudades.",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
75,II,XXIII,De otras cosas que Escipión hizo en España,Plinio,Plinio el Viejo,,Plinio: los huesos de los Scipiones fueron incinerados en la ciudad de Ilorci (posiblemente la actual Lorca).,Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.
76,II,XXIII,De otras cosas que Escipión hizo en España,Valerio Máximo,Valerio Máximo,,"Valerio Máximo (Valerius Maximus), s. I. Romano. Obra más relevante: Hechos y Dichos Memorables. Colección de anécdotas de la historia romana y griega (en menor medida). Sobre Corbis y Orsua, dos gladiadores, primos hermanos, que participaron en las exequias (hubo juegos de gladiadores) de los Scipiones.",Autoridad bibliográfica o de transmisión textual,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
77,II,XXIV,Como Escipión venció a Cartago en África,Tito Livio,Tito Livio,,"Tito Livio, sobre la guerra entre Cartago y Roma.",Autoridad narrativa bélica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
78,II,XXV,Como M. Porcio Catón siendo cónsul vino a España,Aulus Gellius,Aulo Gelio,,"Aulus Gellius (Aulo Gelio). Romano, s. II. Sobre el intento del cónsul Catón de conquistar la actual Sigüenza, ciudad de los Turdetanos, que se habían levantado contra Roma. Tras la segunda guerra púnica, los romanos deben estabilizar la península, levantada en armas (no todos los pueblos) contra ellos.",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
79,II,XXVI,De diferentes pretores que vinieron a España,Ptolomeo,Ptolomeo,,"Ptolomeo, para cuestiones relacionadas con el nombre de ciudades.",Autoridad geográfica/toponímica,Clásica grecorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
80,II,XXVI,De diferentes pretores que vinieron a España,Plutarco,Plutarco,,"Plutarco, sobre la confederación de Numancia con Roma.",Autoridad narrativa bélica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
81,II,XXVI,De diferentes pretores que vinieron a España,Estrabón,Estrabón,,"Estrabón, justifica que Córdoba fue fundada por el cónsul Marco Marcello.",Autoridad geográfica/toponímica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
82,II,XXVI,De diferentes pretores que vinieron a España,Silio Itálico,Silio Itálico,,"Silio Itálico, por su parte, menciona Córdoba en tiempos de Aníbal. Dos fuentes de autoridad contrapuestas.",Autoridad geográfica/toponímica,Clásica romana / poesía épica,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
83,III,I,Del principio de la guerra de Numancia,Appiano,Apiano de Alejandría,,"Appiano, sobre la ubicación de la ciudad de Segeda, dentro de los pueblos Belos, y no Arévacos (lo usa para contraponer la información disponible).",Autoridad geográfica/toponímica,Clásica griega / transmisión fragmentaria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
84,III,I,Del principio de la guerra de Numancia,Ptolomeo,Ptolomeo,,"Ptolomeo, sobre la ubicación de Nertóbriga.",Autoridad geográfica/toponímica,Clásica grecorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
85,III,II,Cómo Publio Cornelio Scipión vino por legado o lugarteniente a España,Marco Tulio Cicerón,Cicerón,,"Marco Tulio Cicerón (Marcus Tullius Cicero), s. II-I a.C. Romano. Que Lucullo vino al gobierno de España y Scipión pasó a África. (Para los asuntos de los romanos en el gobierno de Hispania).",Autoridad narrativa bélica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
86,III,II,Cómo Publio Cornelio Scipión vino por legado o lugarteniente a España,Estrabón,Estrabón,,"Estrabón, para lo mismo.",Autoridad historiográfica de apoyo,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
87,III,II,Cómo Publio Cornelio Scipión vino por legado o lugarteniente a España,Plinio,Plinio el Viejo,,"Plinio, para lo mismo.",Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
88,III,II,Cómo Publio Cornelio Scipión vino por legado o lugarteniente a España,Appiano,Apiano de Alejandría,,"Appiano, para lo mismo.",Autoridad historiográfica de apoyo,Clásica griega / transmisión fragmentaria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
89,III,II,Cómo Publio Cornelio Scipión vino por legado o lugarteniente a España,Cicerón,Cicerón,,"Cicerón, para lo mismo.",Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
90,III,III,De la guerra de Viriato,Cicerón,Cicerón,,"Cicerón, cuestiones relacionadas a la guerra contra Viriato.",Autoridad narrativa bélica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
91,III,III,De la guerra de Viriato,Andrea de' Bardi,Andrea de' Bardi,,"Andrea de' Bardi, ""El Anconitano"" → desacreditado por Mariana, basándose en lo que otros autores comentan. Italiano, s. XIII-XIV. Autor discutido.",Fuente problemática o usada críticamente,Dudosa,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Caso crítico/problemático.
92,III,IV,De lo que Q. Cecilio Metello hizo en España,Plinio,Plinio el Viejo,,"Plinio, sobre los asuntos de Roma en la P. Ibérica.",Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
93,III,IV,De lo que Q. Cecilio Metello hizo en España,Appiano,Apiano de Alejandría,,"Appiano, lo mismo.",Autoridad historiográfica de apoyo,Clásica griega / transmisión fragmentaria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
94,III,X,Cómo Numancia fue destruida,Appiano,Apiano de Alejandría,,"Appiano, sobre la conquista de Numancia.",Autoridad narrativa bélica,Clásica griega / transmisión fragmentaria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
95,III,XI,De lo que sucedió en España después de la guerra de Numancia,Antonio de Nebrija,Antonio de Nebrija,,"Antonio de Nebrija, s. XV-XVI. Castellano. Decadas Rerum Hispanicarum (1545, edición póstuma): Obra historiográfica que cubre la historia de España desde la época romana hasta los Reyes Católicos. → sobre Craso, y la vía de la Plata (ruta romana más famosa de Hispania).","Autoridad sobre orígenes, genealogía o materia mítica",Humanista española,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
96,III,XII,Cómo se comenzó la guerra de Sertorio,Plinio,Plinio el Viejo,,"Plinio y Ptolomeo, de nuevo, para situar ciudades antiguas (geografía).",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
97,III,XII,Cómo se comenzó la guerra de Sertorio,Ptolomeo,Ptolomeo,,"Plinio y Ptolomeo, de nuevo, para situar ciudades antiguas (geografía).",Autoridad geográfica/toponímica,Clásica grecorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
98,III,XIII,Cómo Metello y Pompeio vinieron a España,Plutarco,Plutarco,,"Plutarco, sobre el pretor Lucio Domicio, que acompaña a Q. Metello en la guerra contra Sertorio.",Autoridad narrativa bélica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
99,III,XIII,Cómo Metello y Pompeio vinieron a España,Casiodoro,Casiodoro,,"Flavio Magno Aurelio Casiodoro Senador (Casiodoro), s. V-VI, italiano (Calabria). Político, literato y estadista romano al servicio del Reino Ostrogodo en Italia. Y Quinto Septimio Florente Tertuliano (Tertulliano), s.II-III. Nace en Cartago (pero es romano). Uno de los principales Padres de la Iglesia latinos, considerado el fundador de la teología latina. Ambos hablan sobre Genio Pompeyo y la guerra contra Sertorio (asuntos de los romanos en la P. Ibérica).",Autoridad narrativa bélica,Tardorromana / medieval temprana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
100,III,XIII,Cómo Metello y Pompeio vinieron a España,Tertuliano,Tertuliano,,"Flavio Magno Aurelio Casiodoro Senador (Casiodoro), s. V-VI, italiano (Calabria). Político, literato y estadista romano al servicio del Reino Ostrogodo en Italia. Y Quinto Septimio Florente Tertuliano (Tertulliano), s.II-III. Nace en Cartago (pero es romano). Uno de los principales Padres de la Iglesia latinos, considerado el fundador de la teología latina. Ambos hablan sobre Genio Pompeyo y la guerra contra Sertorio (asuntos de los romanos en la P. Ibérica).",Autoridad narrativa bélica,Patrística latina,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
101,III,XIII,Cómo Metello y Pompeio vinieron a España,Paulo Orosio,Paulo Orosio,,"Paulo Orosio (Paulus Orosius), s. IV-V. Sobre lo mismo.",Autoridad historiográfica de apoyo,Tardorromana cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
102,III,XIV,Cómo Sertorio fue vencido y muerto,Ambrosio de Morales,Ambrosio de Morales,,"Ambrosio de Morales, Córdoba, s. XVI. La Crónica General de España (Continuación de la de Ocampo): Publicada en 1574 (Libros VI al X) y la segunda parte en 1586. Sobre la ubicación del sepulcro de Sertorio.",Autoridad geográfica/toponímica,Humanista española,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
103,III,XV,Cómo Pompeyo apaciguó a España,Estrabón,Estrabón,,"Estrabón, sobre la ciudad de Pompelo. Cuestiones geográficas.",Autoridad geográfica/toponímica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
104,III,XVII,Del principio de la guerra civil en España,Paulo Orosio,Paulo Orosio,,"Paulo Orosio y Estrabón, sobre los españoles (cántabros) que participaron en la guerra de las Galias (de Julio César).",Autoridad narrativa bélica,Tardorromana cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
105,III,XVII,Del principio de la guerra civil en España,Estrabón,Estrabón,,"Paulo Orosio y Estrabón, sobre los españoles (cántabros) que participaron en la guerra de las Galias (de Julio César).",Autoridad narrativa bélica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
106,III,XVII,Del principio de la guerra civil en España,Marco Anneo Lucano,Lucano,,"Marco Anneo Lucano, Córdoba, romano, s. I. Sobre el río Segre (geografía) en el contexto de la guerra de las Galias, que se extiende a España.",Autoridad geográfica/toponímica,Clásica romana / poesía épica,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
107,III,XXI,Cómo en España se hizo la guerra contra los hijos de Pompeyo,Plutarco,Plutarco,,"Plutarco, Julio César en Córdoba.",Autoridad geográfica/toponímica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
108,III,XXII,Cómo César volvió a Roma,Floro,Lucio Anneo Floro,,"Floro →Lucius Annaeus Florus. Atribución discutida. Sobre la muerte de Genio Pompeio a manos de Dido y Cesonio, enviados por J. César para matarle.",Autoridad historiográfica de apoyo,Clásica romana / epítome,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
109,III,XXII,Cómo César volvió a Roma,Virgilio,Virgilio,,"Virgilio → en una égloga habla de Asinio Pollion, que vino por gobernador de la España Ulterior.",Autoridad historiográfica de apoyo,Clásica romana / poesía,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
110,III,XXIII,Cómo después de la muerte de César se levantaron nuevas alteraciones en España,Dion Casio,Dion Casio,,Dion Casio (posiblemente). S. II-III. Historia Romana. Sobre Julio César.,Autoridad historiográfica de apoyo,Clásica griega/romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.
111,III,XXIV,De la cuenta llamada Era,Juan Margarite,Joan Margarit i Pau,,"Juan Margarite (Joan Margarit i Pau), obispo de Gerona. S. XV. Paralipomenon Hispaniae ( Historiae ab adventu Gothorum ad haec usque tempora): Su obra historiográfica magna, inacabada. Es un extenso relato de la historia de la Península Ibérica desde los visigodos hasta su época (finales del siglo XV). Sobre la era del César, 26 años antes de Cristo (fechado por era hispánica o año del señor). Cuidado, que según Mariana esto que dice está mal, el resto autores contradicen al obispo.",Fuente problemática o usada críticamente,Humanista / eclesiástica hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
112,III,XXIV,De la cuenta llamada Era,Dion,Dion Casio,,"Dion, sobre el reparto de las provincias tras la guerra de Perosa. Relacionado con tema de la Era.",Autoridad narrativa bélica,Clásica griega/romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
113,III,XXIV,De la cuenta llamada Era,Hilderico,Hilderico,,Hilderico y San Isidoro.,Autoridad historiográfica de apoyo,Pendiente de identificación,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
114,III,XXIV,De la cuenta llamada Era,San Isidoro,Isidoro de Sevilla,,Hilderico y San Isidoro.,Autoridad historiográfica de apoyo,Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
115,III,XXIV,De la cuenta llamada Era,Dion,Dion Casio,,"Dion, para el periodo posterior a la muerte de César.",Autoridad historiográfica de apoyo,Clásica griega/romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
116,III,XXIV,De la cuenta llamada Era,Paulo Orosio,Paulo Orosio,,"Paulo Orosio, sobre la duración de la guerra de Cantabria en tiempos de Cayo Norbano.",Autoridad narrativa bélica,Tardorromana cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
117,III,XXIV,De la cuenta llamada Era,Estrabón,Estrabón,,Estrabón → sobre fundación de ciudades y la aculturación tras apaciguar las guerras contra los locales en la P. Ibérica.,Autoridad geográfica/toponímica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
118,III,XXV,De la guerra de Cantabria,Ptolomeo,Ptolomeo,,"Ptolomeo, para situar geográficamente los pueblos aledaños a los cántabros.",Autoridad geográfica/toponímica,Clásica grecorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
119,III,XXV,De la guerra de Cantabria,Orosio,Paulo Orosio,,"Orosio, que los gallegos se hicieron fuertes en el monte Medulia (hoy Mendulia, Vizcaya), durante la guerra.",Autoridad narrativa bélica,Tardorromana cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
120,III,XXV,De la guerra de Cantabria,moro Rasis,Ahmad al-Razi / el moro Rasis,,"El moro Rasis ( Áhmad ibn Muhámmad ibn Mūsà al-Rāzī). S. IX-X, Córdoba. Sobre la ciudad de Mérida, cabeza de la Lusitania. Mariana hace una cosa curiosa, en principio Mérida debería ser una ciudad impresionante, debido a su importancia en el mundo romano. Sin embargo, cita a Rasis como autor que encarece la grandeza de dicha ciudad, e, incluso, afirma que fue destruida por los moros.",Autoridad geográfica/toponímica,Andalusí / medieval,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
121,III,XXV,De la guerra de Cantabria,Mela,Pomponio Mela,,"Mela, Plinio y Ptolomeo, sobre las Aras Sextianas y su ubicación. Creo que es un monumento para conmemorar el fin de la guerra contra los cántabros.",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.
122,III,XXV,De la guerra de Cantabria,Plinio,Plinio el Viejo,,"Mela, Plinio y Ptolomeo, sobre las Aras Sextianas y su ubicación. Creo que es un monumento para conmemorar el fin de la guerra contra los cántabros.",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.
123,III,XXV,De la guerra de Cantabria,Ptolomeo,Ptolomeo,,"Mela, Plinio y Ptolomeo, sobre las Aras Sextianas y su ubicación. Creo que es un monumento para conmemorar el fin de la guerra contra los cántabros.",Autoridad geográfica/toponímica,Clásica grecorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.
124,IV,I,De la venida del hijo de Dios al mundo,San Agustín,Agustín de Hipona,,"San Agustín, incertidumbre respecto a los cónsules en Hispania al tiempo de nacer Cristo.",Autoridad eclesiástica/cristiana,Patrística latina,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
125,IV,I,De la venida del hijo de Dios al mundo,Dion,Dion Casio,,"Dion, sobre uno de los capitanes “españoles” que se dedica a saltar a la gente, tras la guerra con los romanos. Corocota se llama.",Autoridad narrativa bélica,Clásica griega/romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
126,IV,I,De la venida del hijo de Dios al mundo,Dion,Dion Casio,,"Dion, Plinio y Tácito (Publio Cornelio Tácito), hablan del avistamiento del ave Fénix, durante el gobierno de Tiberio (año 14-37 d.C.), marcando la resurrección de Cristo.",Autoridad eclesiástica/cristiana,Clásica griega/romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
127,IV,I,De la venida del hijo de Dios al mundo,Plinio,Plinio el Viejo,,"Dion, Plinio y Tácito (Publio Cornelio Tácito), hablan del avistamiento del ave Fénix, durante el gobierno de Tiberio (año 14-37 d.C.), marcando la resurrección de Cristo.",Autoridad eclesiástica/cristiana,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
128,IV,I,De la venida del hijo de Dios al mundo,Tácito,Tácito,,"Dion, Plinio y Tácito (Publio Cornelio Tácito), hablan del avistamiento del ave Fénix, durante el gobierno de Tiberio (año 14-37 d.C.), marcando la resurrección de Cristo.",Autoridad eclesiástica/cristiana,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
129,IV,II,De los Emperadores Caio (Calígula) y Claudio,San Lucas,Lucas evangelista,,"San Lucas, actos de los Apóstoles.",Autoridad eclesiástica/cristiana,Bíblica,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
130,IV,II,De los Emperadores Caio (Calígula) y Claudio,Flavio Josefo,Flavio Josefo,,"Flavio Josefo, s. I-II. Antigüedades Judaicas.",Autoridad historiográfica de apoyo,Judeo-romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
131,IV,II,De los Emperadores Caio (Calígula) y Claudio,Seneca el Viejo,Séneca el Viejo,,Seneca el Viejo (creo).,Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.
132,IV,II,De los Emperadores Caio (Calígula) y Claudio,Quintiliano,Quintiliano,,Quintiliano y Eusebio.,Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
133,IV,II,De los Emperadores Caio (Calígula) y Claudio,Eusebio,Eusebio de Cesarea,,Quintiliano y Eusebio.,Autoridad historiográfica de apoyo,Cristiana tardoantigua,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
134,IV,II,De los Emperadores Caio (Calígula) y Claudio,Isidoro de Sevilla,Isidoro de Sevilla,,Isidoro de Sevilla.,Autoridad historiográfica de apoyo,Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
135,IV,II,De los Emperadores Caio (Calígula) y Claudio,Pelayo,Pelayo de Oviedo,,"Pelayo, obispo de Oviedo. S. XI-XII. Sobre los discípulos del apóstol Santiago.",Autoridad eclesiástica/cristiana,Medieval hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
136,IV,III,Del Emperador Domicio Nerón,Beda,Beda el Venerable,,"Beda el Venerable, s. VII-VIII. Northumbria (Inglaterra).",Autoridad cronológica,Medieval cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
137,IV,III,Del Emperador Domicio Nerón,Usuardo,Usuardo,,"Usuardo, s. IX. Posiblemente benedictino de la Abadía de Saint Germain des Prés, París. Ambos sobre el Apóstol san Pablo.",Autoridad eclesiástica/cristiana,Medieval cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.
138,IV,III,Del Emperador Domicio Nerón,Plutarco,Plutarco,,"Plutarco→ a la ciudad de Clunia la llama Colonia, dando lugar a una confusión.",Autoridad geográfica/toponímica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
139,IV,III,Del Emperador Domicio Nerón,Poggio,Poggio Bracciolini,,"Poggio Florentín → rescató las obras de Fabio Quintiliano y las publicó en tiempos del concilio de Constanza, s. XV.",Autoridad eclesiástica/cristiana,Humanista italiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
140,IV,III,Del Emperador Domicio Nerón,Quintiliano,Quintiliano,,"Poggio Florentín → rescató las obras de Fabio Quintiliano y las publicó en tiempos del concilio de Constanza, s. XV.",Autoridad eclesiástica/cristiana,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
141,IV,III,Del Emperador Domicio Nerón,Prieto Crinito,Pietro Crinito,,"Prieto Crinito, s. XV-XVI, Florencia. Y Gregorio Giraldo, s. XV-XVI, Ferrara. Ambos italianos, renacentistas. Sobre el lugar de nacimiento de Silio Itálico. Cónsul romano, algunos autores afirman que era Español, Giraldo lo contradice.",Fuente problemática o usada críticamente,Humanista italiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
142,IV,III,Del Emperador Domicio Nerón,Gregorio Giraldo,Lilio Gregorio Giraldi,,"Prieto Crinito, s. XV-XVI, Florencia. Y Gregorio Giraldo, s. XV-XVI, Ferrara. Ambos italianos, renacentistas. Sobre el lugar de nacimiento de Silio Itálico. Cónsul romano, algunos autores afirman que era Español, Giraldo lo contradice.",Fuente problemática o usada críticamente,Humanista italiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
143,IV,III,Del Emperador Domicio Nerón,Silio Itálico,Silio Itálico,,"Prieto Crinito, s. XV-XVI, Florencia. Y Gregorio Giraldo, s. XV-XVI, Ferrara. Ambos italianos, renacentistas. Sobre el lugar de nacimiento de Silio Itálico. Cónsul romano, algunos autores afirman que era Español, Giraldo lo contradice.",Fuente problemática o usada críticamente,Clásica romana / poesía épica,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
144,IV,III,Del Emperador Domicio Nerón,Quintiliano,Quintiliano,,"Quintiliano, sobre la existencia de una Tragedia compuesta por Séneca el Filósofo.",Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
145,IV,IV,"De los Emperadores Flavio Vespasiano, y sus hijos",historia Latina,Juan de Mariana,,"Hace referencia a su historia Latina. Historiae de rebus Hispaniae libri XX. La versión original en latín, donde incluye ciertas cuestiones que aquí no aparecen. Pero se cita a sí mismo.",Autoridad historiográfica de apoyo,Autor moderno / texto propio,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
146,IV,IV,"De los Emperadores Flavio Vespasiano, y sus hijos",Suetonio,Suetonio Tranquilo,,"Suetonio Tranquilo. Sobre el emperador Domiciano, que mandó desterrar de Roma a todos los filósofos (finales s.I). Mariana entiende que destierra a los filósofos crstianos.",Autoridad cronológica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
147,IV,IV,"De los Emperadores Flavio Vespasiano, y sus hijos",Miguel Sincelo,Miguel Sincelo,,"Miguel Sincelo, Vida de San Clemente. Sobre San Eugenio. Debió pasar por España, con especial hincapié en Toledo.",Autoridad historiográfica de apoyo,Bizantina / manuscrita,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
