Orden,Libro,Capítulo,Título del capítulo,Autor citado,Forma normalizada,Obra asociada,Pasaje / contexto,Función de la cita,Tipo de fuente,Observaciones,Validación 1617,Coincidencia OCR 1617,Cita literal 1617 (OCR),Línea OCR cita 1617,Rango OCR 1617,Notas validación 1617
37,I,XV,De la venida de los de Fenicia a España,Plinio,Plinio el Viejo,Naturalis Historia,"Plinio y Solino, atribuyen la creación de Tarragona a los Scipiones. Si bien Mariana la considera creación del rey Tarachon.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,plinio,"buylles lafaiidacion de aquella ciudad, / no foío la gente vulgar,fino también -aü / tores muy graues, entre ellos Plinio y / Solino-. íibicnelque la fundó primero / fue el ya dicho Tarachon, Rey de Ethio",7448,líneas 7188-7467,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
38,I,XV,De la venida de los de Fenicia a España,Solino,Solino,Collectanea rerum memorabilium,"Plinio y Solino, atribuyen la creación de Tarragona a los Scipiones. Si bien Mariana la considera creación del rey Tarachon.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica romana / compilatoria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,solino,"no foío la gente vulgar,fino también -aü / tores muy graues, entre ellos Plinio y / Solino-. íibicnelque la fundó primero / fue el ya dicho Tarachon, Rey de Ethio / pia,y de Egypto.",7449,líneas 7188-7467,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
39,I,XVI,"Cómo los Cartagineses tomaron Ibiza, y acometieron a los mallorquines",Antonino,Anónimo del Itinerarium Antonini,Itinerarium Antonini Augusti,Antonino. Obra: Itinerarium Antonini Augusti. Autor desconocido.,Autoridad cronológica,Tardorromana / itinerario,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,antonino,"particular la mayor ’ de las dos íc llamdí / Clúba>y la menor Núra,.fcgun que lo / tcllifica Antonino en fu Itinerario, ydel / lo tomó,y lo pufo Florian en fu hiíloritu / , Antes de defcmbarcar, rodearé los Cw",7549,líneas 7438-7679,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
40,I,XVI,"Cómo los Cartagineses tomaron Ibiza, y acometieron a los mallorquines",Florian,Lucio Anneo Floro,Epitome de Tito Livio,"Florian→ Lucio Anneo Floro (Lucius Annaeus Florus). S. I-II. Epitome de Tito Livio bellorum omnium annorum DCC (Epítome de la historia de Tito Livio sobre todas las guerras de setecientos años). También conocida simplemente como Epítome. Incorpora la obra de Antonino, referente a la geografía. Mientras que él habla de las guerras.",Autoridad geográfica/toponímica,Clásica romana / epítome,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,florian,"Clúba>y la menor Núra,.fcgun que lo / tcllifica Antonino en fu Itinerario, ydel / lo tomó,y lo pufo Florian en fu hiíloritu / , Antes de defcmbarcar, rodearé los Cw / thaginefes con fus ñaues, eftas Islas, fus",7550,líneas 7438-7679,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
41,I,XVI,"Cómo los Cartagineses tomaron Ibiza, y acometieron a los mallorquines",Tito Livio,Tito Livio,Ab urbe condita,"Florian→ Lucio Anneo Floro (Lucius Annaeus Florus). S. I-II. Epitome de Tito Livio bellorum omnium annorum DCC (Epítome de la historia de Tito Livio sobre todas las guerras de setecientos años). También conocida simplemente como Epítome. Incorpora la obra de Antonino, referente a la geografía. Mientras que él habla de las guerras.",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,livio,"groiEn la mifma ribera hazia el ponien- / te vieron la ciudad de Iberia , de la qual / hizo mención Tito Liuio,y era del mif-' / mo nombre de otra que cítuuo alienta- / da en la ribera del rio Ebro,no Icxos de'",8956,líneas 7438-7679,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
42,I,XVI,"Cómo los Cartagineses tomaron Ibiza, y acometieron a los mallorquines",Filón de Biblos,Filón de Biblos,Historia fenicia,"Filón de Biblos (Philo Byblius), s. I-II, Romano. Phoinikē Hiera historia (Historia Sagrada de Fenicia). Sobre la historia de los de Fenicia.",Autoridad cronológica,Clásica / fragmentaria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,philon,".exemplos nacen de buenos principios. / Y Philon en la Iiiftoria de los de Pheni- He * ú / cia, dize ouo coftúbre q en los muy gra / .lies y cftremospeligro5,cl Principe de f""**g*l.",7639,líneas 7438-7679,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
43,I,XVII,De la edad de Argantonio,Cayo Silio Itálico,Silio Itálico,Punica,"Cayo Silio Itálico (Caius Silius Italicus), s. I-II. Romano. Sobre Tartessos y su rey, Argantonio. De él dice, vivió 300 años. Plinio, por testimonio de Anacreonte, 150.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica romana / poesía épica,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.,Confirmado en 1617,silio,"toytreynta y dos , concurrió la edad / de Argantonio, Rey de los Tarteíl'o^ / de quien Silio Itálico dize , viuio no C / menos de trezientos años.Plinio por tcl / timonio de Anacrcontc, le da ciento y,",7674,líneas 7650-8616,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
44,I,XVII,De la edad de Argantonio,Plinio,Plinio el Viejo,Naturalis Historia,"Cayo Silio Itálico (Caius Silius Italicus), s. I-II. Romano. Sobre Tartessos y su rey, Argantonio. De él dice, vivió 300 años. Plinio, por testimonio de Anacreonte, 150.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.,Confirmado en 1617,plinio,"de Argantonio, Rey de los Tarteíl'o^ / de quien Silio Itálico dize , viuio no C / menos de trezientos años.Plinio por tcl / timonio de Anacrcontc, le da ciento y, / cinquenta. A erte,como tuuicflc gran",7675,líneas 7650-8616,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
45,I,XVII,De la edad de Argantonio,Tito Flavio Josefo,Flavio Josefo,Antigüedades judías,"Tito Flavio Josefo (Titus Flavius Iosephus), s. I. Nace en Jerusalén, muere en Roma. Ioudaikē Archaiología (Antigüedades Judías). Nabucodonosor se apoderó de España, en su guerra contra los fenicios. Hecho célebre en las obras de los Hebreos.",Autoridad narrativa bélica,Judeo-romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 7650-8616,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
46,I,XVIII,Cómo los fenicios trataron de apoderarse de España,Tito Livio,Tito Livio,Ab urbe condita,"Tito Livio y Polibio, sobre Turdulos y Turdetanos (consideran que son el mismo pueblo).",Autoridad cronológica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,livio,"groiEn la mifma ribera hazia el ponien- / te vieron la ciudad de Iberia , de la qual / hizo mención Tito Liuio,y era del mif-' / mo nombre de otra que cítuuo alienta- / da en la ribera del rio Ebro,no Icxos de'",8956,líneas 7650-8616,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
47,I,XVIII,Cómo los fenicios trataron de apoderarse de España,Polibio,Polibio,Historias,"Tito Livio y Polibio, sobre Turdulos y Turdetanos (consideran que son el mismo pueblo).",Autoridad cronológica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,polybio,"quiuir , tocauan a Sierramorena , y ocu- ' / pauan loMediterranco,)iafta lo poftrero / .delaBctica.TitoLibio,y Polybio hazé ' / los mifmos a los Turdulos,y Turdera- / nos,ylosmas confunden los términos '",7977,líneas 7650-8616,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
48,I,XX,Cómo Saphón vino en España,Silio Itálico,Silio Itálico,Punica,"Silio Itálico (Tiberius Catius Asconius Silius Italicus). Romano, s. I-II. Punica: El único poema épico latino conservado en su totalidad, compuesto por 17 libros. Narra la Segunda Guerra Púnica (218-201 a.C.), centrándose en el conflicto entre Roma y Cartago, con especial atención a figuras como Aníbal y Escipión.",Autoridad narrativa bélica,Clásica romana / poesía épica,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,silio,"toytreynta y dos , concurrió la edad / de Argantonio, Rey de los Tarteíl'o^ / de quien Silio Itálico dize , viuio no C / menos de trezientos años.Plinio por tcl / timonio de Anacrcontc, le da ciento y,",7674,líneas 8587-9084,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
49,I,XX,Cómo Saphón vino en España,Festo Pompeyo,Festo Pompeyo,De verborum significatu,"Festo Pompeyo (Sextus Pompeius Festus), s. II. Romano. Fuente indirecta para el conocimiento de las cosas antiguas romanas.",Autoridad historiográfica de apoyo,Clásica romana / anticuaria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,festo,"lor de dalle el gouicrno de la ciudad , y / .el cargo y magiQradomas principal ; el / qual,como dizeFefto Pompero,fc llama / ua SufiFctes.La.vcrdad era, que les daua / penaque vn ciudadano con las riquezas",8798,líneas 8587-9084,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
50,I,XX,Cómo Saphón vino en España,Plinio,Plinio el Viejo,Naturalis Historia,Plinio. Todos ellos para la historia de los cartagineses.,Autoridad narrativa bélica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,plinio,"métir có alguna probabilidad y apparea / ciadevcrdad.Enconclufion,aun clmif- / moPlinio,alfin dcfuhiftoria natural tef / tiíica,q por todas las partes cercanas del / mar , Efpaña es la mejor y mas fértil de",4122,líneas 8587-9084,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
51,I,XXI,Cómo Himilcón y Hannon descubrieron nuevas navegaciones,Rufo Festo,Sexto Rufo / Rufo Festo,Breviarium,"Rufo Festo. Historiador y alto funcionario romano. S. IV. Escribe su Breviario, epítome o resumen de la historia de Roma. Para la geografía de España → habla del Guadalquivir.",Autoridad geográfica/toponímica,Tardorromana / compendio,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,rufo,"lor de dalle el gouicrno de la ciudad , y / .el cargo y magiQradomas principal ; el / qual,como dizeFefto Pompero,fc llama / ua SufiFctes.La.vcrdad era, que les daua / penaque vn ciudadano con las riquezas",8798,líneas 8587-9084,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
52,I,XXI,Cómo Himilcón y Hannon descubrieron nuevas navegaciones,Tito Libio,Tito Livio,Ab urbe condita,"Tito Libio, sobre la ciudad de Iberia (a la que hace mención).",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,livio,"groiEn la mifma ribera hazia el ponien- / te vieron la ciudad de Iberia , de la qual / hizo mención Tito Liuio,y era del mif-' / mo nombre de otra que cítuuo alienta- / da en la ribera del rio Ebro,no Icxos de'",8956,líneas 8587-9084,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
53,I,XXII,De la navegación de Hannón,Lucio Flavio Arriano,Arriano,Obra histórica/geográfica,"Lucio Flavio Arriano (Lucius Flavius Arrianus). A menudo conocido como Arriano de Nicomedia, s. I-II. Historiador, filósofo estoico (discípulo de Epicteto) y alto funcionario romano de origen griego del siglo II d.C. Junto a Polibio, Rufo Festo, Plinio, Ptolomeo. Para cuestiones geográficas referentes al viaje de Hannon, desde P. Ibérica hasta África.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,arriano,"pelufio, que nofotros comunmente lia- i / inamos cabo de Efpartchyr aun fofpcchd / es el que Arriano llamó Soloenjdemu- ' / chaclpcfuradcarbolcs,y demuy gran- g . .",9110,líneas 9055-9295,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
54,II,II,De las cosas por los españoles hechas en Sicilia,Tucídides,Tucídides,Historia de la guerra del Peloponeso,"Tucídides, Tito Livio y Dionisio de Halicarnaso, s. I a.C. - s. I d.C., griego. Hablan de una peste ocurrida en el 327, año de la fundación de Roma. Osea, s.V a.C.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,thucidides,"afsi milmo mató y confumio hombres y / ganadoslin numero y íin cuento. Hizic / ron mención derta plagaThucidides,Ti / toLiuio,}’ Dyonifio HalicarnaíTco , y / aun nueftrashirtorias atribuyen la cau-",9494,líneas 9444-10141,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
55,II,II,De las cosas por los españoles hechas en Sicilia,Tito Livio,Tito Livio,Ab urbe condita,"Tucídides, Tito Livio y Dionisio de Halicarnaso, s. I a.C. - s. I d.C., griego. Hablan de una peste ocurrida en el 327, año de la fundación de Roma. Osea, s.V a.C.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,livio,"ganadoslin numero y íin cuento. Hizic / ron mención derta plagaThucidides,Ti / toLiuio,}’ Dyonifio HalicarnaíTco , y / aun nueftrashirtorias atribuyen la cau- / fa derta mortandad a la fequedad del ay",9495,líneas 9444-10141,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
56,II,II,De las cosas por los españoles hechas en Sicilia,Dionisio de Halicarnaso,Dionisio de Halicarnaso,Antigüedades romanas,"Tucídides, Tito Livio y Dionisio de Halicarnaso, s. I a.C. - s. I d.C., griego. Hablan de una peste ocurrida en el 327, año de la fundación de Roma. Osea, s.V a.C.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 9444-10141,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
57,II,II,De las cosas por los españoles hechas en Sicilia,Hipócrates,Hipócrates de Cos,Corpus Hippocraticum,"Hipócrates de Cos, s. V-IV a.C. Griego. Corpus Hippocraticum (Colección Hipocrática). Considerado el padre de la medicina en la tradición ocidental. Sobre la peste del siglo V a.C.",Autoridad cronológica,Clásica griega / médica,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,hippocrates,"aun nueftrashirtorias atribuyen la cau- / fa derta mortandad a la fequedad del ay / TC.Pcro Hippocratesquc viuio por el / mifiiio tiempo affírma,quc para librar a / Theflalia derta pcfte,hizo el quemar ios",9498,líneas 9444-10141,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
58,II,V,"De una embajada que se envió a Alejandro, rey de Macedonia",Paulo Orosio,Paulo Orosio,Historiae adversus paganos,"Paulo Orosio, s. IV-V. Hispano. Sobre una embajada enviada desde España a Alejandro Magno.",Autoridad historiográfica de apoyo,Tardorromana cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,orosio,"lia Prouincia, el principal de la embaxa- / da íe llamó Maurino, fegú fe lee en Pau- / lo Orofio,elqual de camino |untandofc / conlosEmbaxadores de laGállia,qutí / hazian el mifmo viage, vltimaracnt;*ílc-",10233,líneas 10112-10465,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
59,II,V,"De una embajada que se envió a Alejandro, rey de Macedonia",Arriano,Arriano,Obra histórica/geográfica,"Arriano, sobre lo mismo.",Autoridad historiográfica de apoyo,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,arriano,"dro,dc tal manera, que entonces le pare / cío auerfe hecho feñor de todo, como lo / dizc Arriano,pues dcfdc lo poftrero del / mundo venían a poner en fus manos fus / diferencias. Preguntóles muchas cofas",10280,líneas 10112-10465,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
60,II,V,"De una embajada que se envió a Alejandro, rey de Macedonia",Justino,Justino,Epitoma historiarum Philippicarum,Justino. Sobre la guerra entre cartagineses y siracusanos.,Autoridad narrativa bélica,Clásica romana / epítome,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 10112-10465,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
61,II,VI,De la primera guerra Púnica contra Cartago,Polybio,Polibio,Historias,Polybio. Cómo los cartagineses reunieron el ejército que lucharía contra los romanos en la primera guerra Púnica.,Autoridad narrativa bélica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,polybio,"Rfpaña , y por las marinas de la Gallia, / y porlaLiguria(que oy es lo de Geno- / ua^fegunquePolybiolo tellífica. Con / elle aparato tornaron a la guerra contra / los Romanos , que fue larga y dificultó-",10541,líneas 10436-10756,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
62,II,VI,De la primera guerra Púnica contra Cartago,Eusebio de Cesarea,Eusebio de Cesarea,Chronicon / Historia ecclesiastica,"Eusebio de Cesarea, s. III-IV. Sobre la derrota naval del general romano Cecilio Metello.",Autoridad cronológica,Cristiana tardoantigua,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,eusebio,"aEufebio, de noucnca iiaucs. Al contra- / rio los Mallorquínes fe rebelaron con- / tra los gouernadores de Cartílago, y",10596,líneas 10436-10756,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
63,II,VI,De la primera guerra Púnica contra Cartago,Plinio,Plinio el Viejo,Naturalis Historia,"Plinio. Sobre el nacimiento de Aníbal, hijo de Amílcar, en la isla de Tiquadra, cercana a Mallorca.",Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,plinio,"nibaI,aquelqueconla grandeza de fus / hazaña$,y conlafamadefu valor , hin- / chó la redódez de la tierra.Plinio fin du- / da,fi la letra no efta errada haze a T iqua- / dra patria de Anibal.Nueftros coroniftas",10632,líneas 10436-10756,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
64,II,VII,Cómo Amílcar vino otra vez a España,Estrabón,Estrabón,Geographica,Estrabón. Sobre la riqueza de la Bética (de la que Amílcar se apoderó).,Autoridad historiográfica de apoyo,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,estrabon,"to para los de Carthago, que confidera- dación de Roma de quinientos y diez y / can quantasfuerfas perdian, conauer- fcys.Era cfta gente por aquel tiempo tá / les antes quitado a Sicilia , y al prefente rica, que como dizc Eftrabon,vfauan de / deípojado de Cerdeña. Los Romanos pcfcbres,y de tinajas de plata. Añadcn,q / fe efeufauan con el concierto, ycapitu- cofteando con fu arntada las riberas dcl-",10800,líneas 10727-10955,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
65,II,VII,Cómo Amílcar vino otra vez a España,Ptolomeo,Ptolomeo,Geographia,Ptolomeo. Sobre la ubicación de Cartago la vieja.,Autoridad geográfica/toponímica,Clásica grecorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,ptolomeo,"batalla muy braua que les dio junto a vn / pueblo llamado Eburarel qual entiendo / que Ptolomeo llama Libora, y oy es T a- / laucra, como fe prouará en otra parte. / T unieron ellos Pretores el gouierno de",15158,líneas 10727-10955,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
66,II,VII,Cómo Amílcar vino otra vez a España,Tito Livio,Tito Livio,Ab urbe condita,"Tito Livio. Sobre la muerte de Amílcar por los Edetanos, en una batalla que dicho autor sitúa cercana a un pueblo llamado Castro Alto.",Autoridad narrativa bélica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,livio,"los pies, y conlacfcuridad déla noche / fe pudicró recoger a las ciudades comar / canas de fu deuoció.TitoLiuio dize,quc / crta batalla fe dio junto a vn lugar,/ pue / blo que fe llamaua Callto Alto.",10927,líneas 10727-10955,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
67,II,IX,De la guerra Saguntina,Polybio,Polibio,Historias,Polybio. Marcha de los cartagineses sobre Sagunto.,Autoridad narrativa bélica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,polybio,"hóbrcs,qucfucclaño primero de la 0~\ / lympiadc cióto yquarenta: como lo dizc / Polybio.Corrio los campos,tomó, y fa- / queó muchos pueblos comarcanos, folo / perdonó a Dcnia , por dar mucílra de lo",11389,líneas 10926-11665,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
68,II,X,Del principio de la segunda guerra Púnica contra Cartago,Polybio,Polibio,Historias,Polybio. Sobre los números del ejército cartaginés.,Autoridad narrativa bélica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,polybio,"Rfpaña , y por las marinas de la Gallia, / y porlaLiguria(que oy es lo de Geno- / ua^fegunquePolybiolo tellífica. Con / elle aparato tornaron a la guerra contra / los Romanos , que fue larga y dificultó-",10541,líneas 11636-12968,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
69,II,XII,De lo que sucedió por el mismo tiempo en España,Rufo Festo,Sexto Rufo / Rufo Festo,Breviarium,"Rufo Festo. Sobre el puerto de Salu, denominado por él como Solorio. Donde las naves romanas pasan el invierno.",Autoridad historiográfica de apoyo,Tardorromana / compendio,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,rufo,"mana inuernó cerca de Tarragona, dc- / uio fer en el puerto de Salu ; qual pare- / ce que Rufo Fefto llamó Solorio,diílan- / te de aquella ciudad quacro millas a la / parte de poniente. Defpues defto,el ca-",12013,líneas 11636-12968,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
70,II,XVI,Cómo los cartagineses fueron maltratados en muchas partes de España,Tito Livio,Tito Livio,Ab urbe condita,"Tito Livio, sobre las luchas entre romanos (Publio y Gneio Scipión) y cartagineses (Asdrúbal) en España.",Autoridad narrativa bélica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,livio,"cerca cay3ii,por fu efpcfurá y fragura, / y los pics,a los mas dieron lá vida. Tito / Liuio va algún tanto diferente en el",12876,líneas 11636-12968,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
71,II,XVII,De una nueva guerra que se emprendió en África,Tito Livio,Tito Livio,Ab urbe condita,"Tito Livio y Plutarco → en sus obras no incluyen un supuesto viaje que realizó Syphax, rey de los númidas, a España. Para parlamentar con los romanos, en el contexto de la guerra contra Cartago.",Autoridad narrativa bélica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,livio,"ganadoslin numero y íin cuento. Hizic / ron mención derta plagaThucidides,Ti / toLiuio,}’ Dyonifio HalicarnaíTco , y / aun nueftrashirtorias atribuyen la cau- / fa derta mortandad a la fequedad del ay",9495,líneas 12939-13146,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
72,II,XVII,De una nueva guerra que se emprendió en África,Plutarco,Plutarco,Vidas paralelas,"Tito Livio y Plutarco → en sus obras no incluyen un supuesto viaje que realizó Syphax, rey de los númidas, a España. Para parlamentar con los romanos, en el contexto de la guerra contra Cartago.",Autoridad narrativa bélica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 12939-13146,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
73,II,XXI,Como Asdrúbal Barchino fue vencido por Scipión,Plinio,Plinio el Viejo,Naturalis Historia,"Plinio, sobre la ubicación de Oninge, ciudad de los Melessos (mandado conquistar por los romanos en el contexto de la segunda guerra púnica).",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,plinio,"no, para que fe ápoderafle de Oringe, C / ciudad de los Melelfos. Plinio pone a / Oninge en la Betica, bazia donde oy cf- / tálacn. Nofuecllaemprefa fin prouc-",14014,líneas 13327-14196,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
74,II,XXIII,De otras cosas que Escipión hizo en España,Plinio,Plinio el Viejo,Naturalis Historia,"Plinio, sobre la ubicación de la ciudad de Siga (en frente de Málaga, residencia del rey Siphax). Está empleando a Plinio como fuente para la geografía y ubicación de ciudades.",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,plinio,"el afsiéto y refidencia de aqucUos Reyes / ^ entiende q es Arelgol, por caula / ^ Plinio tcdifica,que Siga edaua enfren- / te de Malaga. Acudió a la mifma ciudad / y en la mifma fazon Afdrubal, para pre-",14206,líneas 14167-14724,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
